"769"	"acute"	"&acute;"	"$\acute{\phantom{o}}$"	P
"769"	"d12"	"&acute;"	"$\acute{\phantom{o}}$"
"770"	"circ"	"&circ;"	"$\hat{\phantom{o}$"	P
"770"	"d4"	"&circ;"	"$\hat{\phantom{o}$"
"771"	"d5"	"&tilde;"	"$\tilde{\phantom{o}}$"
"771"	"tilde"	"&tilde;"	"$\tilde{\phantom{o}}$"	P
"772"	"d1"	"&macr;"	"$\bar{\phantom{o}}$"
"772"	"macr"	"&macr;"	"$\bar{\phantom{o}}$"	P
"774"	"breve"	"&breve;"	"$\breve{\phantom{o}}$"	P
"774"	"d11"	"&breve;"	"$\breve{\phantom{o}}$"
"775"	"d2"	"&dot;"	"$\dot{\phantom{o}}$"
"775"	"dot"	"&dot;"	"$\dot{\phantom{o}}$"	P
"776"	"d3"	"&die;"	"$\ddot{\phantom{o}}$"
"776"	"die"	"&die;"	"$\ddot{\phantom{o}}$"
"776"	"uml"	"&uml;"	"$\ddot{\phantom{o}}$"	P
"780"	"caron"	"&caron;"	"$\check{\phantom{o}}$"	P
"780"	"d9"	"&caron;"	"$\check{\phantom{o}}$"
"803"	"dotbelow"	"."	"$\d{\phantom{o}}$"	P
"807"	"cedil"	"&cedil;"	"$\c{\phantom{o}}$"	P
"817"	"barbelow"	"&barbelow;"	"$\b{\phantom{o}}$"	P
"824"	"solidus"	"/"	"/"	P
"913"	"Agr"	"Alpha"	"A"
"913"	"Alpha"	"Alpha"	"A"	U
"914"	"Bgr"	"Beta"	"B"
"914"	"Beta"	"Beta"	"B"	U
"915"	"Ggr"	"Gamma"	"$\Gamma$"
"915"	"Gamma"	"Gamma"	"$\Gamma$"	U
"916"	"Dgr"	"Delta"	"$\Delta$"
"916"	"Delta"	"Delta"	"$\Delta$"	U
"917"	"Egr"	"Epsilon"	"E"
"917"	"Epsilon"	"Epsilon"	"E"	U
"918"	"Zgr"	"Zeta"	"Z"
"918"	"Zeta"	"Zeta"	"Z"	U
"919"	"EEgr"	"Eta"	"H"
"919"	"Eta"	"Eta"	"H"	U
"920"	"THgr"	"Theta"	"$\Theta$"
"920"	"Theta"	"Theta"	"$\Theta$"	U
"921"	"Igr"	"Iota"	"I"
"921"	"Iota"	"Iota"	"I"	U
"922"	"Kgr"	"Kappa"	"K"
"922"	"Kappa"	"Kappa"	"K"	U
"923"	"Lgr"	"Lambda"	"$\Lambda$"
"923"	"Lambda"	"Lambda"	"$\Lambda$"	U
"924"	"Mgr"	"Mu"	"M"
"924"	"Mu"	"Mu"	"M"	U
"925"	"Ngr"	"Nu"	"N"
"925"	"Nu"	"Nu"	"N"	U
"926"	"Xgr"	"Xi"	"$\Xi$"
"926"	"Xi"	"Xi"	"$\Xi$"	U
"927"	"Ogr"	"Omicron"	"O"	U
"927"	"Omicron"	"Omicron"	"O"
"928"	"Pgr"	"Pi"	"$\Pi$"
"928"	"Pi"	"Pi"	"$\Pi$"	U
"929"	"Rgr"	"Rho"	"R"
"929"	"Rho"	"Rho"	"R"	U
"931"	"Sgr"	"Sigma"	"$\Sigma$"
"931"	"Sigma"	"Sigma"	"$\Sigma$"	U
"932"	"Tgr"	"Tau"	"T"
