....AVISS....	Astronomicheskii Vestnik Issledovaniia Solnechnoi Sistemy
....AvKos....	Aviatsiia i Kosmonavtika
....AvPE.....	Avtomatizatsiia Proektirovaniia Elektronike
....AvSeM....	Aviation Space and Environmental Medicine
....AVSOA....	American Association of Variable Stars Observers Abstracts
....AVSOM....	American Association of Variable Stars Observers Monographs
....AVSOQ....	American Association of Variable Stars Observers Quarterly Reports
....AVSOR....	American Association of Variable Stars Observers Reports
....AVSVB....	Associazione Veneta Osservatori di Stelle Variabili Bulletin
....AvTek....	Aviatsionnaia Tekhnika
....AvTel....	Avtomatika i Telemekhanika
....Avtme....	Avtometriia
....AvWST....	Aviation Week Space Technology
....AZh......	Astronomicheskii Zhurnal
....BAAA.....	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
....BAAPG....	Bulletin of the American Association of Petroleum Geologists
....BAAS.....	Bulletin of the American Astronomical Society
....BADPG....	Berlin East Germany Akademie Verlag GmbH Ergebnisse Plasmaphysik und Gaselektronik
....BAICz....	Bulletin of the Astronomical Institutes of Czechoslovakia
....BaltA....	Baltic Astronomy
....BamKV....	Bamberg Kleine Veroeffentlichungen der Remeis-Sternwarte
....BAN......	Bulletin of the Astronomical Institute of the Netherlands
....BAND.....	Bylgarska Akademiya Naukite Dokladi
....BANS.....	Bulletin of the Astronomical Institutes of the Netherlands Supplement Series
....BAORB....	Bulletin of the Astronomical Observatoire Royale de Belgique
....BAPS.....	Bulletin de l'Academie Polonaise des Sciences
....BARB.....	Bulletin de l'Academie Royale de Belgique
....BASBr....	Bulletin of the Astronomical Society of Brazil
....BASI.....	Bulletin of the Astronomical Society of India
....BAth.....	National Observatory of Athens Greece Bulletin of the Astronomical Institute
....BAVMM....	Berlin East Germany Akademie Verlag GmbH Shriftenreihe des Zentralinstituts Mathematik und Mechanik
....BAVSM....	Berliner Arbeitsgemeinschaft fuer Veraenderliche Sterne - Mitteilungen
....BAVSO....	Bulletin of the American Association of Variable Stars Observers
....BAVSR....	BAV Rundbrief - Mitteilungsblatt der Berliner Arbeits-gemeinschaft fuer Veraenderliche Sterne
....BAWMN....	Bayerische Akademie Wissenschaften mathematisch naturwissenschaftliche Klasse Sitzungsberichte
....BBCEn....	BBC Engineering
....BBRC.....	Biochemical and Biophysical Research Communications
....BBSAG....	Bulletin der Bedeckungsveraenderlichen-Beobachter der Schweizerischen Astronomischen Gesellschaft
....BBUSM....	Babes Bolyai Universitas Studia Series Physica
....BBUSS....	Babes Bolyai Universitas Studia Series Mathematica
....BCB......	Biochemistry and Cell Biology
....BCFHT....	Bulletin d'information du telescope Canada-France-Hawaii
....BCNRC....	Canada National Research Council Division Mechanical Engineering National Aeronautical Establishment Quarterly Bulletin
....BCNRS....	Bulletin Signaletique - Centre National de la Recherche Scientifique
....BCrAO....	Bulletin Crimean Astrophysical Observatory
....BDus.....	Byulleten' Instituta Astrofiziki Dushanbe Akademiya Nauk Tadzhikskoj SSR
....BeElM....	Beskontaktnye Elektricheskie Mashiny
....BeiGe....	Beitraege zur Geophysik
....BeiRe....	Reprints Beijing Astronomical Observatory Academia Sinica
....BePhA....	Beitraege zur Physik Atmosphaere
....BePl.....	Beitraege Plasmaphysik
....Bern.....	Bernoulli
....Bes1K....	Observatoire de Besancon
....BESBe....	Beobachtungs-Ergebnisse der Koniglichen Sternwarte zu Berlin
....BeSN.....	Be Star Newsletter
....BFWSG....	Braunschweig Friedr Vieweg und Sohn GmbH
....BGBGM....	Berlin Gebrueder Borntraeger Geoexploration Monographs Series
....BGeod....	Bulletin Geodesique
....BHarO....	Harvard Observatory Bulletin
....BIAst....	Bjull. Inst. Astrofizikii
....BICDS....	Bulletin d'Information du Centre de Donnees Stellaires
....BiLuf....	Bildmessung und Luftbildwessen
....BIMAF....	Boletin del Instituto de Matematica Astronomica y Fisica Universidad Nacional de Cordoba Argentina
....Biome....	Biometrika
....BioMi....	Biomedical Microdevices
....Bion.....	Bionika
....Biorh....	Biorheology
....BioSc....	BioScience
....BiotL....	Biotechnology Letters
....BIRM.....	Brussels Institute Royal Meteorologique de Belgique
....BITA.....	Byulleten' Instituta Teoreticheskoj Astronomii (Leningrad)
....BIT......	Behaviour & Information Technology
....BITon....	Boletin del Instituto de Tonantzintla
....BJET.....	British Journal of Educational Technology
....BJHS.....	The British Journal for the History of Science
....BJMSP....	British Journal of Mathematical and Statistical Psychology
....BJP......	British Journal of Psychology
....BJPS.....	The British Journal for the Philosophy of Science
....BKoAS....	Bulletin of Korean Astronomical Society
....BKobO....	Bulletin of the Kobe Marine Observatory Kobe Japan
....BLabR....	Bell Laboratories Record
....BlazD....	BLAZAR Data
....BlDok....	Bolgarskaia Akademiia Nauk, Doklady
....BlGeo....	Bulgarska Akademiia Naukite Geofizichni Institut Izvestiia
....BlGSp....	B'lgarsko Geofizichno Spisanie
....BlGSp....	Bulgarsko Geofizichno Spisanie
....BlJMH....	Bulgarian Journal of Meteorology and Hydrology
....BlJPh....	Bulgarian Journal of Physics
....BlMat....	Bulgarska Akademiia Naukite Matematicheski Institut Izvestiia
....BlSpi....	Bulgarska Akademiia Naukite Spisanie
....BlTek....	Bulgarska Akademiia Naukite Institut Tekhnicheska Kibernetika Izvestiia
....BlTse....	Bulgarska Akademiia Naukite Tsentralna Laboratoriia Geodeziia Izvestiia
....BMai.....	Bulletin de la Station Astrophotographique de Mainterne
....BMBio....	Bulletin of Mathematical Biology
....BMOE.....	Boletin mensual del Observatorio del Ebro
....BOBeo....	Bulletin de l'Observatoire Astronomique de Belgrade
....BoLMe....	Boundary-layer Meteorology
....BoLMe....	Boundary-Layer Meteorology
....BonD.....	Bonner Durchmusterung
....BOOde....	Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Byulletin Astronomicheskoj Observatorii
