# abbreviations used in physics journals
WaMot....	Wave Motion
ZMetl....	Z Metallk
ZMetl....	Z Metallkde
ZMetl....	Z Metallkunde
ZNatA....	Z Naturforsch A
ZNatA....	Z Naturforsch Teil A
ZNatA....	Z Naturforschg Teil A
ZPhy.....	Z Phys
ZPhy.....	Z Phys D
ZNatA....	Zeitschr Naturforschung Teil A
ZhETF....	Zh Eksp Teor Fiz
ZhETF....	Zh Eksp Teor Fiz Nauk
ZhETF....	Zh Eksp Teor Phys
ThTFi....	Zh Tekh Fiz
ZhETF....	Zhurn Eksp Teor Phys
